relation_id,sentence_id,description,is_true,expectation,words,c_start,c_length,p_start,p_length,p_length,features,weights
1893919@19_26-1893919@19_0,1893919@19,Lenny Waronker-Garrett,,0.24,"{Garrett,"","",who,was,legendary,for,his,``,shrewd,ability,to,identify,a,good,song,and,know,what,singer,could,do,it,justice,'',heavily,influenced,Waronker,as,he,learned,about,production,.}",26,1,0,1,1,"{num_words_between_bucket=3,""INV_BETW_L_[dobj ccomp conj_and vmod prep_for rcmod]"",""INV_BETW_[dobj do ccomp know conj_and identify vmod ability prep_for legendary rcmod]"",""INV_BETW_D_[dobj do ccomp know conj_and identify vmod ability prep_for legendary rcmod]""}","{-0.728149,0,0,0}"
19729467@403_4-19729467@403_15,19729467@403,Franklin Pierce-McClelland,,0.622,"{In,September,1861,"","",Pierce,traveled,to,Michigan,"","",visiting,his,former,Interior,Secretary,"","",McClelland,"","",former,senator,Cass,"","",and,others,.}",4,1,15,1,1,"{dep_path_length>5,NGRAM_1_[former],people_between_bucket=0,NGRAM_1_[travel],num_words_between_bucket=2,NGRAM_1_[visit]}","{0.845584,0.702721,0.4248,-0.125579,-0.104993,-0.0525366}"
2413555@73_19-2413555@73_11,2413555@73,Robbie Blake-Bolton,,0.304,"{However,"","",at,the,end,of,the,following,season,"","",following,Bolton,'s,relegation,from,the,Premier,League,"","",Blake,was,released,.}",19,1,11,1,1,"{num_words_between_bucket=1,""INV_BETW_D_[nsubjpass release prep_following relegation poss]League"",""INV_BETW_L_[nsubjpass prep_following poss]League"",""INV_BETW_[nsubjpass release prep_following relegation poss]League""}","{-0.109778,0,0,0}"
44012@239_7-44012@239_15,44012@239,Anton Bruckner-Kitzler,,0.222,"{Sixteen,other,pieces,for,piano,"","",which,Bruckner,composed,in,1862,during,his,tuition,by,Kitzler,"","",have,not,been,edited,or,WAB,classified,.}",7,1,15,1,1,"{people_between_bucket=0,""BETW_L_[nsubj prep_by]"",num_words_between_bucket=1,NGRAM_1_[1862],NGRAM_1_[compose],""BETW_D_[nsubj compose prep_by]""}","{0.4248,0.18903,-0.109778,0.0434759,0.0124064,0}"
437395@19_0-437395@19_3,437395@19,Hisham ibn Abd al-Malik-Mu'awiyah ibn Hisham,,0.126,"{Hisham,'s,son,Mu'awiyah,ibn,Hisham,was,another,Arab,commander,in,the,almost,annual,raids,against,the,Byzantine,Empire,.}",0,1,3,3,3,"{NGRAM_1_[son],""NGRAM_2_['s son]"",people_between_bucket=0,NGRAM_1_['s],BETW_[poss]son,BETW_L_[poss]son}","{2.25699,-0.497124,0.4248,-0.275959,-0.0292858,-0.0292858}"
46165@11_0-46165@11_10,46165@11,Charlton Heston-Lila,,0.428,"{Heston,was,born,John,Charles,Carter,"","",the,son,of,Lila,-LRB-,n,e,Charlton,;,1899,1994,-RRB-,and,Russell,Whitford,Carter,-LRB-,1897,1966,-RRB-,"","",a,sawmill,operator,.}",0,1,10,1,1,"{people_between_bucket=2,""BETW_L_[nsubjpass dep prep_of]"",""BETW_D_[nsubjpass bear dep son prep_of]"",""BETW_[nsubjpass bear dep son prep_of]"",num_words_between_bucket=1}","{1.97439,0.610834,0.133831,0.132085,-0.109778}"
41252860@41_19-41252860@41_12,41252860@41,Klas August Linderfelt-William I. Fletcher,,0.238,"{On,May,22,"","",the,executive,board,of,the,ALA,moved,that,William,I.,Fletcher,be,appointed,president,following,Linderfelt,'s,resignation,"","",and,that,he,be,officially,recorded,as,president,retroactively,for,the,entire,term,"","",essentially,erasing,Linderfelt,from,the,historical,record,of,the,ALA.,.}",19,1,12,3,3,"{num_words_between_bucket=0,""INV_BETW_L_[poss prep_following nsubjpass]following"",""INV_BETW_D_[poss resignation prep_following appoint nsubjpass]following"",""INV_BETW_[poss resignation prep_following appoint nsubjpass]following""}","{0.0050051,0,0,0}"
33182967@15_9-33182967@15_0,33182967@15,Julio Castillo Narváez-Irina Bokova,,0.2,"{Irina,Bokova,"","",the,director-general,of,UNESCO,"","",condemned,Castillo,'s,slaying,:,``,This,crime,is,an,attack,on,the,basic,human,right,of,journalists,and,citizens,to,speak,their,mind,and,hold,free,debates,about,issues,that,concern,them,.}",9,1,0,2,2,"{num_words_between_bucket=1,""INV_BETW_[poss slaying dobj condemn nsubj]condemned"",""INV_BETW_L_[poss dobj nsubj]condemned"",""INV_BETW_D_[poss slaying dobj condemn nsubj]condemned""}","{-0.109778,0,0,0}"
31309153@10_6-31309153@10_14,31309153@10,"Frances Howard, Duchess of Richmond-Henry Pranell",,0.026,"{Orphaned,at,a,young,age,"","",Frances,Howard,``,was,married,off,'',to,Henry,Pranell,"","",the,son,of,a,rich,wine,merchant,and,alderman,and,a,patron,of,the,Virginia,Company,"","",in,early,1592,.}",6,2,14,2,2,"{""BETW_L_[nsubjpass prep_to]"",people_between_bucket=0,NGRAM_1_[marry],""BETW_[nsubjpass marry prep_to]"",""BETW_D_[nsubjpass marry prep_to]"",num_words_between_bucket=1}","{0.577764,0.4248,-0.36256,-0.291125,-0.291125,-0.109778}"
159769@40_0-159769@40_9,159769@40,John I Tzimiskes-Basil II,,0.25,"{Tzimiskes,was,succeeded,by,his,ward,and,nephew,"","",Basil,II,"","",who,had,been,nominal,co-emperor,since,960,.}",0,1,9,2,2,"{people_between_bucket=0,NGRAM_1_[succeed],""BETW_L_[nsubjpass agent appos]"",NGRAM_1_[nephew],num_words_between_bucket=1,NGRAM_1_[ward]}","{0.4248,0.196459,0.148352,-0.122264,-0.109778,-0.00555733}"
40376920@5_0-40376920@5_8,40376920@5,T. R. Omana-Gopala Pilla,,0.966,"{T.,R.,Omana,was,born,to,T,R,Gopala,Pilla,and,V,K,Meenakshiyamma,in,Alappuzha,.}",0,3,8,2,2,"{NGRAM_1_[bear],""BETW_D_[nsubjpass bear prep_to]"",""BETW_[nsubjpass bear prep_to]"",""BETW_L_[nsubjpass prep_to]"",people_between_bucket=0,NGRAM_1_[t]}","{2.43319,0.947038,0.943381,0.577764,0.4248,-0.15162}"
1021376@5_28-1021376@5_13,1021376@5,David Pham-Nguyen,,0.254,"{His,cousin,is,the,famed,professional,poker,player,Men,``,The,Master,'',Nguyen,"","",from,whom,Pham,would,learn,poker,and,continue,to,do,so,even,after,Pham,along,with,his,wife,had,opened,a,nail,salon,in,Los,Angeles,"","",California,.}",28,1,13,1,1,"{num_words_between_bucket=2,""INV_BETW_D_[nsubj open advcl continue conj_and learn rcmod man dep master dep]"",""INV_BETW_L_[nsubj advcl conj_and rcmod dep dep]"",""INV_BETW_[nsubj open advcl continue conj_and learn rcmod man dep master dep]""}","{-0.104993,0,0,0}"
33830175@32_9-33830175@32_21,33830175@32,Perminder Sachdev-Lopezx-Pousa,,0.682,"{Neurology,2004,;,62:912,919,;,Roman,GC,"","",Sachdev,P,"","",Royall,DR,"","",Bullock,RA,"","",Orgogozo,J-M,"","",Lopezx-Pousa,S,"","",Arizaga,R,"","",Wallin,A.,Vascular,cognitive,disorder,:,a,new,diagnostic,category,updating,vascular,cognitive,impairment,and,vascular,dementia,.}",9,1,21,1,1,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=2,""BETW_[nn p appos gc appos dr appos ra appos J-M appos s nn]"",""BETW_L_[nn appos appos appos appos appos nn]"",""BETW_D_[nn p appos gc appos dr appos ra appos J-M appos s nn]""}","{1.97439,0.845584,-0.104993,0,0,0}"
2432816@17_20-2432816@17_4,2432816@17,Muhammad Mustafa Mero-Assad,,0.312,"{After,the,death,of,Assad,in,2000,"","",a,9-member,committee,was,formed,to,oversee,the,transition,period,"","",and,Mero,was,among,its,members,.}",20,1,4,1,1,"{num_words_between_bucket=2,""INV_BETW_L_[nsubj conj_and prep_after prep_of]"",""INV_BETW_[nsubj be conj_and form prep_after death prep_of]"",""INV_BETW_D_[nsubj be conj_and form prep_after death prep_of]""}","{-0.104993,0,0,0}"
24995583@39_19-24995583@39_0,24995583@39,Salvatore Riina-Buscetta,,0.314,"{Buscetta,was,from,a,losing,family,in,the,Mafia,war,and,had,lost,several,relatives,and,many,friends,to,Riina,'s,hitmen,;,becoming,an,informant,was,a,way,both,to,save,himself,and,get,his,revenge,on,Riina,.}",19,1,0,1,1,"{num_words_between_bucket=2,""INV_BETW_[poss hitman prep_to lose conj_and be nsubj]to"",""INV_BETW_D_[poss hitman prep_to lose conj_and be nsubj]to"",""INV_BETW_L_[poss prep_to conj_and nsubj]to""}","{-0.104993,0,0,0}"
476044@62_3-476044@62_6,476044@62,Tilda Swinton-Doug Aitken,,0.222,"{In,2012,"","",Swinton,appeared,in,Doug,Aitken,'s,SONG,1,"","",an,outdoor,video,installation,created,for,the,Hirshhorn,Museum,and,Sculpture,Garden,in,Washington,D.C.,.}",3,1,6,2,2,"{people_between_bucket=0,NGRAM_1_[appear],""BETW_L_[nsubj prep_in poss]in"",num_words_between_bucket=0,""BETW_D_[nsubj appear prep_in SONG poss]in"",""BETW_[nsubj appear prep_in SONG poss]in""}","{0.4248,-0.321179,-0.0475749,0.0050051,0,0}"
2645558@9_18-2645558@9_3,2645558@9,Jeff Braun-Gary Carlston,,0.236,"{Br,derbund,executives,Gary,Carlston,and,Don,Daglow,saw,``,SimCity,'',"","",recognized,its,potential,and,urged,Braun,to,sign,a,distribution,deal,with,Br,derbund,for,the,game,.}",18,1,3,2,2,"{""INV_BETW_L_[dobj conj_and nsubj]"",num_words_between_bucket=2,""INV_BETW_[dobj urge conj_and see nsubj]"",""INV_BETW_D_[dobj urge conj_and see nsubj]""}","{0.195432,-0.104993,0,0}"
2182160@28_26-2182160@28_0,2182160@28,Roy L. Dennis-Lekman,,0.194,"{Lekman,clarified,that,the,song,was,not,about,himself,with,the,release,of,``,Rocky,Dennis,in,Heaven,'',"","",an,EP,containing,four,songs,about,Dennis,and,his,portrayal,in,the,film,.}",26,1,0,1,1,"{num_words_between_bucket=3,""INV_BETW_D_[prep_about song dobj contain vmod ep appos Heaven prep_in release prep_with be ccomp clarify nsubj]"",""INV_BETW_[prep_about song dobj contain vmod ep appos Heaven prep_in release prep_with be ccomp clarify nsubj]"",""INV_BETW_L_[prep_about dobj vmod appos prep_in prep_with ccomp nsubj]""}","{-0.728149,0,0,0}"
21940341@56_9-21940341@56_6,21940341@56,Gilbert Teodoro-Ferdinand Marcos,,0.33,"{During,the,administration,of,former,President,Ferdinand,Marcos,"","",Teodoro,'s,father,served,as,Social,Security,System,administrator,while,Noynoy,Aquino,s,father,"","",former,senator,Benigno,Aquino,Jr.,"","",was,a,leading,opposition,leader,.}",9,1,6,2,2,{num_words_between_bucket=0},{0.0050051}
3956274@3_4-3956274@3_18,3956274@3,Ernest Dudley-Morelle,,0.354,"{The,actor,and,scriptwriter,Ernest,Dudley,was,the,creator,of,the,hit,BBC,radio,crime,series,``,Dr,Morelle,'',and,also,the,television,series,``,The,Armchair,Detective,'',.}",4,2,18,1,1,"{dep_path_length>5,people_between_bucket=0,NGRAM_1_[series],num_words_between_bucket=2,NGRAM_1_[hit],NGRAM_1_[creator]}","{0.845584,0.4248,-0.346111,-0.104993,-0.0712381,0.0209735}"
32470713@53_17-32470713@53_11,32470713@53,Taeler Hendrix-Randy Royal,,0.206,"{Later,in,the,same,night,"","",she,and,Dylan,Bostic,defeated,Randy,Royal,and,Epiphany,"","",after,Hendrix,distracted,Royal,.}",17,1,11,2,2,"{""INV_BETW_L_[nsubj advcl dobj]"",num_words_between_bucket=0,""INV_BETW_[nsubj distract advcl defeat dobj]"",""INV_BETW_D_[nsubj distract advcl defeat dobj]""}","{-0.313747,0.0050051,0,0}"
14791494@4_5-14791494@4_11,14791494@4,Justin Pickett-Chez Williams,,0.198,"{From,2005,to,2007,"","",Pickett,had,the,recurring,role,of,Chez,Williams,in,the,ITV1,police,drama,``,The,Bill,'',.}",5,1,11,2,2,"{people_between_bucket=0,num_words_between_bucket=1,NGRAM_1_[role],NGRAM_1_[recur],""BETW_L_[nsubj dobj prep_of]"",""NGRAM_2_[recur role]""}","{0.4248,-0.109778,-0.0796675,-0.0265416,-0.0113407,-0.00328487}"
2022317@13_5-2022317@13_20,2022317@13,Tommy Robredo-Marc,,0.426,"{As,a,junior,player,"","",Robredo,won,the,Junior,Orange,Bowl,16,Under,in,both,singles,and,doubles,-LRB-,with,Marc,L,pez,-RRB-,in,1998,.}",5,1,20,1,1,"{dep_path_length>5,people_between_bucket=0,NGRAM_1_[win],num_words_between_bucket=2,NGRAM_1_[16],NGRAM_1_[double]}","{0.845584,0.4248,-0.135745,-0.104993,0.0577353,-0.0382486}"
6823227@33_7-6823227@33_15,6823227@33,Robert Evett-Edwardes,,0.378,"{When,George,Edwardes,died,in,1915,"","",Evett,returned,to,England,where,he,managed,the,Edwardes,estate,"","",which,was,then,in,debt,and,close,to,bankruptcy,.}",7,1,15,1,1,"{dep_path_length>5,people_between_bucket=0,num_words_between_bucket=1,NGRAM_1_[manage],NGRAM_1_[return],""BETW_L_[nsubj prep_to rcmod dobj nn]""}","{0.845584,0.4248,-0.109778,-0.0926713,-0.0797892,-0.0131539}"
18153813@46_2-18153813@46_19,18153813@46,Courtney Lee-Jerryd Bayless,,0.446,"{Boston,traded,Lee,and,a,2016,second,round,draft,pick,to,Memphis,for,in,exchange,for,the,Grizzlies,',Jerryd,Bayless,and,the,Thunder,'s,Ryan,Gomes,.}",2,1,19,2,2,"{dep_path_length>5,people_between_bucket=0,NGRAM_1_[second],NGRAM_1_[round],NGRAM_1_[exchange],num_words_between_bucket=2}","{0.845584,0.4248,0.168682,-0.15015,-0.113862,-0.104993}"
22617437@1_20-22617437@1_5,22617437@1,Jodle Birge-Hansen,,0.152,"{Jodle,Birge,Birge,L,nquist,Hansen,-LRB-,November,6,"","",1945,August,27,"","",2004,-RRB-,"","",better,known,as,Jodle,Birge,"","",was,a,Danish,composer,and,singer,.}",20,2,5,1,1,"{""INV_BETW_[prep_as know vmod]"",""INV_BETW_D_[prep_as know vmod]"",""INV_BETW_L_[prep_as vmod]"",num_words_between_bucket=2}","{-0.526715,-0.52668,-0.497502,-0.104993}"
43187290@25_0-43187290@25_7,43187290@25,Gary McPherson-Peggy,,0.02,"{McPherson,is,married,to,his,wife,"","",Peggy,"","",and,the,couple,has,two,children,"","",Chris,and,Missy,.}",0,1,7,1,1,"{NGRAM_1_[wife],people_between_bucket=0,""BETW_L_[nsubjpass prep_to appos]"",NGRAM_1_[marry],num_words_between_bucket=1,""BETW_D_[nsubjpass marry prep_to wife appos]""}","{0.908084,0.4248,0.391925,-0.36256,-0.109778,0}"
40201984@5_8-40201984@5_6,40201984@5,Pete Simpson-Sullivan,,0.216,"{In,a,nationally,Democratic,year,"","",Sullivan,defeated,Simpson,for,the,right,to,succeed,fellow,Democrat,Edgar,Herschler,.}",8,1,6,1,1,"{""INV_BETW_L_[dobj nsubj]"",num_words_between_bucket=0,""INV_BETW_D_[dobj defeat nsubj]"",""INV_BETW_[dobj defeat nsubj]""}","{0.372353,0.0050051,0,0}"
377372@34_6-377372@34_8,377372@34,Masaharu Homma-Sugiyama,,0.182,"{However,"","",the,deteriorating,relationship,between,Homma,and,Sugiyama,led,to,the,removal,of,Homma,from,command,shortly,after,the,fall,of,Corregidor,"","",and,he,was,thereafter,commander,of,the,14th,Army,in,name,only,.}",6,1,8,1,1,"{people_between_bucket=0,BETW_L_[conj_and],BETW_D_[conj_and],BETW_[conj_and],num_words_between_bucket=0}","{0.4248,0.149423,0.1476,0.147414,0.0050051}"
696825@35_4-696825@35_34,696825@35,Woody Shaw-McCoy Tyner,,0.628,"{By,the,mid-1960s,"","",Shaw,had,successfully,absorbed,the,concepts,and,influence,of,his,mentor,and,friend,"","",saxophonist,Dolphy,"","",and,was,meanwhile,exploring,the,harmonic,innovations,of,saxophonist,John,Coltrane,and,pianist,McCoy,Tyner,.}",4,1,34,2,2,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=3,""BETW_D_[nsubj absorb conj_and explore dobj innovation prep_of Coltrane conj_and]"",""BETW_[nsubj absorb conj_and explore dobj innovation prep_of Coltrane conj_and]"",""BETW_L_[nsubj conj_and dobj prep_of conj_and]""}","{1.97439,0.845584,-0.728149,0,0,0}"
7662104@2_17-7662104@2_2,7662104@2,Peter Morley-Mark Goldberg,,0.282,"{After,Chairman,Mark,Goldberg,fell,into,financial,ruin,in,1999,"","",and,the,club,into,administration,"","",Morley,was,appointed,temporary,chairman,.}",17,1,2,2,2,"{""INV_BETW_L_[nsubjpass advcl nsubj]"",num_words_between_bucket=2,""INV_BETW_D_[nsubjpass appoint advcl fall nsubj]"",""INV_BETW_[nsubjpass appoint advcl fall nsubj]""}","{0.328771,-0.104993,0,0}"
39137116@21_0-39137116@21_2,39137116@21,Ray Dalton-Lewis,,0.126,"{Dalton,"","",Lewis,and,Macklemore,created,the,hook,for,``,Ca,n't,Hold,Us,'',in,one,day,.}",0,1,2,1,1,"{people_between_bucket=0,BETW_L_[conj_and],BETW_D_[conj_and],BETW_[conj_and],num_words_between_bucket=0}","{0.4248,0.149423,0.1476,0.147414,0.0050051}"
14437614@9_3-14437614@9_1,14437614@9,Cassidy Possum Tjapaltjarri-Clifford,,0.178,"{Since,Clifford,died,Cassidy,painted,what,he,called,``,circle,'',dreaming,which,was,part,of,powerful,dreaming,story,that,was,used,in,the,sand,paintings,to,bring,Clifford,home,.}",3,1,1,1,1,"{""INV_BETW_L_[dobj nsubj]"",num_words_between_bucket=0,""INV_BETW_D_[dobj die nsubj]"",""INV_BETW_[dobj die nsubj]""}","{0.372353,0.0050051,0,0}"
496352@110_1-496352@110_3,496352@110,Rasheed Wallace-Luis Scola,,0.252,"{After,Wallace,pushed,Luis,Scola,and,received,a,technical,foul,"","",Goran,Dragic,missed,the,technical,free,throw,"","",to,which,Wallace,responded,by,saying,``,Ball,do,n't,lie,.,''}",1,1,3,2,2,"{people_between_bucket=0,""BETW_L_[nsubj dobj]"",NGRAM_1_[push],num_words_between_bucket=0,""BETW_[nsubj push dobj]"",""BETW_D_[nsubj push dobj]""}","{0.4248,-0.273492,-0.0343216,0.0050051,0,0}"
39965444@8_13-39965444@8_7,39965444@8,Leron Thomas-Bilal,,0.332,"{In,2001,"","",upon,the,release,of,Bilal,'s,1st,Born,Second,album,Thomas,toured,as,a,member,of,Bilal,'s,band,on,Erykah,Badu,'s,Mama,'s,Gun,World,Tour,"","",and,the,subsequent,touring,in,the,USA,"","",Europe,and,Asia,.}",13,1,7,1,1,"{num_words_between_bucket=1,INV_BETW_[poss]album,INV_BETW_D_[poss]album,INV_BETW_L_[poss]album}","{-0.109778,0,0,0}"
12311912@22_16-12311912@22_4,12311912@22,Jimmy Lumsden-David Moyes,,0.198,"{With,the,dismissal,of,David,Moyes,as,Manchester,United,manager,on,April,22,"","",2014,"","",Lumsden,also,parted,company,with,the,club,along,with,assistant,manager,"","",Steve,Round,.}",16,1,4,2,2,"{""INV_BETW_L_[nsubj dep prep_of]"",num_words_between_bucket=2,""INV_BETW_D_[nsubj part dep dismissal prep_of]"",""INV_BETW_[nsubj part dep dismissal prep_of]""}","{0.114495,-0.104993,0,0}"
13502029@11_0-13502029@11_28,13502029@11,Steve Schalchlin-Alec Clayton,,0.714,"{Steve,will,always,be,in,debt,to,pop,star,George,Michael,for,allowing,him,to,play,John,Lennon,'s,IMAGINE,piano,in,the,front,yard,of,Gabi,and,Alec,Clayton,in,memory,of,their,son,"","",Bill,"","",who,committed,suicide,after,a,gay,bashing,.}",0,1,28,2,2,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=3,""BETW_[nsubj be xcomp pop prepc_for allow xcomp play prep_in yard prep_of Gabi conj_and]"",""BETW_L_[nsubj xcomp prepc_for xcomp prep_in prep_of conj_and]"",""BETW_D_[nsubj be xcomp pop prepc_for allow xcomp play prep_in yard prep_of Gabi conj_and]""}","{1.97439,0.845584,-0.728149,0,0,0}"
10678618@1_11-10678618@1_4,10678618@1,"Harold Dillon, 17th Viscount Dillon-Viscount Dillon Harold Arthur Lee-Dillon",,0.24,"{Harold,Dillon,"","",17th,Viscount,Dillon,Harold,Arthur,Lee-Dillon,"","",17th,Viscount,Dillon,CH,FBA,-LRB-,24,January,1844,18,December,1932,-RRB-,was,an,English,antiquary,and,a,leading,authority,on,the,history,of,arms,and,armour,and,medieval,costume,.}",11,2,4,5,5,"{num_words_between_bucket=0,""INV_BETW_D_[nn fba appos Dillon appos]"",""INV_BETW_L_[nn appos appos]"",""INV_BETW_[nn fba appos Dillon appos]""}","{0.0050051,0,0,0}"
88371@22_10-88371@22_19,88371@22,Joe Cocker-Vance Arnold,,0.172,"{In,1961,"","",under,the,stage,name,Vance,Arnold,"","",Cocker,continued,his,career,with,a,new,group,"","",Vance,Arnold,and,the,Avengers,.}",10,1,19,2,2,"{people_between_bucket=0,NGRAM_1_[career],NGRAM_1_[group],num_words_between_bucket=1,""BETW_L_[nsubj prep_with appos]"",NGRAM_1_[continue]}","{0.4248,-0.190254,-0.117179,-0.109778,0.0460084,-0.0359036}"
27851054@9_5-27851054@9_11,27851054@9,Bruce Donald-Edward J. Foley,,0.532,"{After,moving,to,Dartmouth,"","",Donald,was,the,Joan,P.,and,Edward,J.,Foley,Jr,1933,Professor,of,Computer,Science,"","",Dartmouth,College,until,2006,when,he,moved,to,Duke,University,.}",5,1,11,3,3,"{people_between_bucket=2,""BETW_L_[nsubj conj_and nn]"",num_words_between_bucket=1,""BETW_[nsubj P. conj_and Jr nn]"",""BETW_D_[nsubj P. conj_and Jr nn]""}","{1.97439,0.145696,-0.109778,0,0}"
938523@13_7-938523@13_15,938523@13,Laura Branigan-Meadow,,0.486,"{The,record,was,never,re-released,"","",and,Branigan,preferred,not,to,discuss,her,involvement,with,Meadow,publicly,.}",7,1,15,1,1,"{dep_path_length>5,people_between_bucket=0,num_words_between_bucket=1,NGRAM_1_[discuss],NGRAM_1_[involvement],NGRAM_1_[prefer]}","{0.845584,0.4248,-0.109778,-0.03592,0.025414,9.34799e-05}"
931229@5_7-931229@5_20,931229@5,"John Bourchier, 2nd Baron Berners-Baron Dacre",,0.556,"{By,his,mother,'s,first,marriage,"","",Bourchier,had,two,sisters,"","",Anne,"","",who,married,Thomas,Fiennes,"","",8th,Baron,Dacre,of,Gilsland,"","",and,Margaret,"","",who,married,firstly,"","",John,Sandys,"","",secondly,"","",Sir,Thomas,Bryan,"","",and,thirdly,"","",David,Zouche,.}",7,1,20,2,2,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=2,""BETW_D_[nsubj have dobj sister rcmod marry dobj Fiennes conj_and]"",""BETW_L_[nsubj dobj rcmod dobj conj_and]"",""BETW_[nsubj have dobj sister rcmod marry dobj Fiennes conj_and]""}","{1.97439,0.845584,-0.104993,0,0,0}"
28106651@25_4-28106651@25_0,28106651@25,Aliheydar Garayev-Nariman Narimanov,,0.25,"{Nariman,Narimanov,have,criticized,Garayev,'s,career,with,claiming,that,the,source,of,his,mistakes,are,his,``,young,and,hot-blooded,personality,.,''}",4,1,0,2,2,"{num_words_between_bucket=0,""INV_BETW_D_[poss career dobj criticize nsubj]criticized"",""INV_BETW_L_[poss dobj nsubj]criticized"",""INV_BETW_[poss career dobj criticize nsubj]criticized""}","{0.0050051,0,0,0}"
26134446@7_25-26134446@7_22,26134446@7,Titus Turner-Willie John,,0.274,"{He,had,a,spell,with,Mercury,Records,'s,imprint,"","",Wing,"","",but,was,not,commercially,successful,until,1955,"","",when,Little,Willie,John,recorded,Turner,'s,``,All,Around,the,World,'',.}",25,1,22,2,2,"{""INV_BETW_L_[dobj nsubj]"",num_words_between_bucket=0,""INV_BETW_[dobj record nsubj]"",""INV_BETW_D_[dobj record nsubj]""}","{0.372353,0.0050051,0,0}"
21199006@3_0-21199006@3_10,21199006@3,Frederick Seddon-Mary Ann,,0.9,"{Frederick,Seddon,was,born,in,Liverpool,to,William,Seddon,and,Mary,Ann,-LRB-,n,e,Kennen,-RRB-,on,21,January,1872,.}",0,2,10,2,2,"{""BETW_L_[nsubjpass prep_to conj_and]"",people_between_bucket=2,num_words_between_bucket=1,""BETW_D_[nsubjpass bear prep_to Seddon conj_and]"",""BETW_[nsubjpass bear prep_to Seddon conj_and]""}","{2.47732,1.97439,-0.109778,0,0}"
9156278@32_0-9156278@32_17,9156278@32,Aaron Yan-K.O. 3an Guo,,0.262,"{Yan,starred,with,his,bandmates,in,KO,One,"","",The,X-Family,"","",and,their,cameo,appearance,in,K.O.,3an,Guo,.}",0,1,17,3,3,"{dep_path_length>5,people_between_bucket=0,NGRAM_1_[star],NGRAM_1_[appearance],NGRAM_1_[one],num_words_between_bucket=2}","{0.845584,0.4248,-0.407506,-0.156152,0.13017,-0.104993}"
1370087@114_17-1370087@114_26,1370087@114,Edward S. Curtis-Charles E. Lauriat,,0.39,"{Around,1970,"","",Karl,Kernberger,of,Santa,Fe,"","",New,Mexico,went,to,Boston,to,search,for,Curtis,',original,copper,plates,and,photogravures,at,the,Charles,E.,Lauriat,rare,bookstore,.}",17,1,26,3,3,"{dep_path_length>5,people_between_bucket=0,num_words_between_bucket=1,NGRAM_1_[original],NGRAM_1_[copper],NGRAM_1_[plate]}","{0.845584,0.4248,-0.109778,-0.0581439,-0.0073499,0.00120939}"
21510980@16_0-21510980@16_14,21510980@16,Martin Kolberg-Jagland,,0.386,"{Kolberg,reacted,with,anger,and,frustration,"","",and,the,media,portrayed,the,matter,as,Jagland,firing,his,best,friend,.}",0,1,14,1,1,"{dep_path_length>5,people_between_bucket=0,NGRAM_1_[portray],num_words_between_bucket=2,NGRAM_1_[media],NGRAM_1_[anger]}","{0.845584,0.4248,-0.172503,-0.104993,0.0546234,-0.0530611}"
5337885@46_11-5337885@46_4,5337885@46,Roy Shaw-Liam Galvin,,0.244,"{It,was,directed,by,Liam,Galvin,and,contained,original,footage,of,Shaw,'s,unlicensed,boxing,matches,"","",and,also,interviews,with,Shaw,himself,and,other,former,criminal,underworld,figures,and,boxers,he,was,associated,with,.}",11,1,4,2,2,"{num_words_between_bucket=1,""INV_BETW_L_[poss prep_of dobj conj_and agent]of"",""INV_BETW_D_[poss match prep_of footage dobj contain conj_and direct agent]of"",""INV_BETW_[poss match prep_of footage dobj contain conj_and direct agent]of""}","{-0.109778,0,0,0}"
21790433@55_1-21790433@55_3,21790433@55,Li Guangyan-Han,,0.16,"{Both,Li,and,Han,subsequently,submitted,conflicting,reports,"","",and,Emperor,Xianzong,spared,Tian,and,Song,over,Han,'s,objections,.}",1,1,3,1,1,"{people_between_bucket=0,BETW_L_[conj_and],BETW_D_[conj_and],BETW_[conj_and],num_words_between_bucket=0}","{0.4248,0.149423,0.1476,0.147414,0.0050051}"
2578445@3_0-2578445@3_3,2578445@3,Richard Seifert-Reuben,,0.724,"{Seifert,was,born,Reuben,`,Robin,',Seifert,to,a,Swiss-Jewish,family,and,came,to,London,when,young,.}",0,1,3,1,1,"{NGRAM_1_[bear],people_between_bucket=0,""BETW_L_[nsubjpass dobj nn]"",num_words_between_bucket=0,""BETW_[nsubjpass bear dobj Seifert nn]"",""BETW_D_[nsubjpass bear dobj Seifert nn]""}","{2.43319,0.4248,-0.0114711,0.0050051,0,0}"
